pib,desempleo,inflacion,crisis_activa,transacciones_por_ciclo,empresas_activas,modelos_ml_entrenados,depositos_bancarios,prestamos_totales,ciclo
0.0,23.200000000000003,0.0,0,0,13,10,0.0,0.0,0
1178412.9364027015,6.800000000000001,0.0,0,0,13,10,955385.5821633593,329791.4637541658,1
1186018.5916998342,6.800000000000001,-6.098879230280907,0,0,13,10,1563317.7612511467,846541.4014411921,2
1120901.0643356603,6.800000000000001,-7.036991926978498,0,0,13,10,2072054.3191372259,967938.0625277569,3
1107041.6139089076,6.800000000000001,-3.302235729606706,0,0,13,10,2445883.493370384,1014597.8405469339,4
1042866.4837230215,8.799999999999999,-1.6776073362289812,0,0,13,10,3064019.3944178405,1050971.0743119242,5
957104.2846948801,2.8000000000000003,-4.831198033330708,0,0,12,10,3565305.4193436094,1086287.087575697,6
868138.365654944,5.6000000000000005,-0.44977945635156225,0,0,12,10,3980634.545837327,1124174.353242976,7
772178.8991098226,6.0,1.671803316126974,0,0,12,10,4555781.5329508055,1148637.1857161133,8
685709.1687136005,7.199999999999999,1.8118341898043289,0,0,12,10,5070016.255846407,1156742.3044503334,9
624375.2188423474,10.0,6.4266336337808205,0,0,12,10,4947041.939132383,1191693.8184448862,10
584571.8633770047,3.2,7.923828495406493,0,0,12,10,5015847.032682304,1199598.4674190034,11
544054.9851822238,4.0,7.997385901305365,0,0,12,10,5011860.7024912005,1234602.223036032,12
514192.5180824543,5.6000000000000005,11.162941206255429,0,0,12,10,4923696.222853318,1237536.4088482915,13
486790.8026345017,6.800000000000001,12.202234351252628,0,0,11,10,4976008.270781184,1233264.6705055991,14
441097.8976801814,8.4,11.093024637617855,0,0,11,10,4965577.318183074,1252812.4130799996,15
417553.72641935357,9.6,14.267897097761084,0,0,11,10,4905386.720974279,1264371.2656836645,16
408010.8393908335,6.0,15.268938639054852,0,0,11,10,4905259.269489103,1268955.7508218552,17
399385.7716695769,8.4,13.328342822489736,0,0,10,10,4899163.491976587,1268498.2998091304,18
377615.3759102955,9.2,16.368070295272407,0,0,9,10,4860777.911755486,1280148.7287341764,19
367217.8487849469,6.0,16.95803099139983,0,0,9,10,4835274.392580904,1303084.57357246,20
361276.9846778472,6.800000000000001,14.817167303568368,0,0,9,10,4821448.5979953,1339029.6024287092,21
358085.56479069236,7.6,17.812802493683556,0,0,9,10,4723886.117472122,1339005.2919619759,22
357366.73783102375,8.0,18.17427811672767,0,0,9,10,4696038.974834244,1336427.421817719,23
353629.49921317224,8.799999999999999,15.812138544998234,0,0,9,10,4658644.64072244,1356720.741479583,24
350374.28696030437,10.0,18.679451599555975,0,0,9,55,4601449.607135351,1350663.5197648457,25
343520.8029339669,7.199999999999999,18.908497727580386,0,0,9,55,4518184.43593046,1342456.1211876052,26
341831.44325459615,9.2,16.31897874673458,0,0,9,55,4506502.045446944,1356847.086880435,27
342080.2108662058,6.4,19.251080615788908,0,0,9,55,4477550.693813102,1380221.9321421422,28
345772.2311971974,8.4,19.41087889321098,0,0,9,55,4427103.326701076,1400942.0544791583,29
348276.60731778876,8.4,16.82598846912089,0,0,9,55,4381627.105441314,1451042.7624035852,30
351598.0903880195,8.4,19.635549089449313,0,0,9,55,4312372.300439814,1450144.746404567,31
356913.09855126,8.4,19.740925122937636,0,0,9,55,4283966.462188164,1448749.7656490481,32
361489.9634592354,8.4,17.661719314876144,0,0,9,55,4295146.501522484,1445416.2323584298,33
366192.6125822736,8.4,19.898434332522584,0,0,9,55,4319010.156135938,1438509.095227893,34
371249.20759981143,8.4,19.96805285651597,0,0,9,55,4210732.540624295,1428040.4431637602,35
376663.6533413615,8.4,17.968640784336753,0,0,9,55,4151808.6177582815,1420582.1474494382,36
380400.7554632688,8.4,20.084848472154924,0,0,8,55,4129215.9701791885,1426098.2538386947,37
387436.5316370038,8.4,20.136990314004066,0,0,8,55,4165020.6232786,1428973.6915976224,38
393621.1886272647,8.4,18.08193891589611,0,0,8,55,4118212.3073369027,1428400.0069968551,39
399148.3475737201,8.4,20.225831017837592,0,0,8,55,4118627.1773425066,1438847.0806783377,40
405550.28510524647,8.4,20.267695961158203,0,0,8,55,4050511.6875542924,1443819.1306325938,41
412015.6462501422,8.4,18.322849477433877,0,0,8,55,4042617.439892895,1446420.357681717,42
418301.63734814007,8.4,20.34073333664377,0,0,8,55,4051023.7337688906,1463352.682913044,43
425666.40436417796,8.4,20.375688310665364,0,0,8,55,4119202.5269279643,1474107.9912426467,44
433030.0450038952,8.4,18.249076732869195,0,0,8,55,4036274.1391931176,1485628.3509453475,45
437916.38483081793,8.4,20.439974716303855,0,0,8,55,3996775.601254594,1485628.3509453475,46
445348.83638520224,8.4,20.471086045293816,0,0,8,55,4004922.460319449,1491602.9555446687,47
452375.62630449905,8.4,18.38456131034456,0,0,8,55,3992810.944684404,1491602.9555446687,48
458685.3129574096,8.4,20.5305671051752,0,0,8,55,3984419.731890413,1491602.9555446687,49
